sales,customer_id,customer_age,purchase_date,product,last_purchase_date,price,seller_id
2,3141,80,2023-11-21,Smartphone,2024-04-04,1300.87,183
6,3374,53,2023-05-31,TV,2022-07-26,4095.91,109
54,3272,74,2024-06-29,TV,2023-11-24,505.38,119
4,1966,62,2024-09-27,Tablet,2023-11-07,3538.71,139
54,1889,19,2023-02-01,Headphones,2023-07-29,2692.95,166
93,4863,85,2023-09-29,Tablet,2024-06-12,1247.54,174
63,3058,67,2024-09-27,Laptop,2022-05-05,2489.51,114
18,4400,46,2024-01-03,Tablet,2022-09-14,4158.25,127
90,4083,27,2024-05-06,Laptop,2024-01-07,2254.94,134
44,1034,44,2023-11-12,Headphones,2022-10-15,653.39,106
34,1446,32,2024-08-12,Tablet,2023-09-30,251.97,153
74,4523,77,2024-08-10,TV,2024-02-06,3900.09,196
62,2763,48,2024-07-25,Laptop,2023-05-27,1685.64,141
14,4291,38,2024-08-19,Laptop,2023-07-27,4659.66,137
95,3488,77,2024-01-03,TV,2023-01-03,3104.88,182
48,3700,75,2023-03-21,Tablet,2022-10-12,2209.61,163
15,2558,58,2023-06-21,Headphones,2022-03-04,2844.1,156
72,1594,63,2023-09-15,Smartphone,2023-10-08,2312.81,128
78,3025,62,2023-10-06,Tablet,2024-01-21,4533.76,165
87,3276,43,2024-05-18,Tablet,2024-02-03,2317.21,182
62,1343,68,2024-07-11,Laptop,2022-12-27,565.12,172
40,2103,53,2024-05-05,Laptop,2023-01-06,3005.59,105
85,4424,69,2024-08-07,Headphones,2024-11-10,3133.76,180
80,2419,68,2024-07-19,Headphones,2024-07-29,3838.38,101
82,2313,20,2023-12-03,Headphones,2024-07-29,4669.76,138
53,2478,31,2024-06-04,TV,2024-05-04,2243.25,105
24,4914,66,2023-11-22,Smartphone,2024-03-13,1792.78,113
26,4742,18,2023-06-21,Smartphone,2022-02-15,2479.32,189
89,4036,74,2023-03-25,Headphones,2022-07-13,4505.98,117
60,2151,34,2024-06-07,Laptop,2024-12-16,4900.91,169
41,4773,67,2024-04-25,Smartphone,2022-11-29,4857.61,175
29,3956,31,2024-06-27,Tablet,2024-01-17,1186.99,121
15,4614,76,2024-02-22,TV,2024-05-15,2509.63,177
45,2921,20,2023-12-05,Laptop,2024-11-05,1334.4,112
65,2382,57,2023-11-16,TV,2023-10-07,1871.51,172
89,3574,83,2023-10-31,Tablet,2024-01-14,206.84,195
71,4384,51,2023-09-29,Smartphone,2022-05-30,844.98,109
9,3122,26,2024-11-20,TV,2024-10-02,2015.53,126
88,2569,38,2023-04-24,TV,2024-03-12,1855.29,113
1,2894,42,2024-02-11,TV,2024-05-31,1430.22,108
8,3243,61,2023-01-26,Tablet,2024-04-05,1190.03,108
88,2866,42,2023-08-25,Laptop,2023-01-26,3757.33,189
63,1028,26,2023-11-06,Laptop,2022-10-08,1508.02,156
11,1705,79,2024-11-14,Tablet,2023-06-23,3547.39,195
81,2020,43,2023-08-21,TV,2022-12-08,1874.69,134
8,3063,74,2024-07-02,TV,2023-11-05,4019.8,125
35,2446,54,2023-09-22,Headphones,2024-10-15,877.81,140
35,4660,33,2023-01-13,Smartphone,2022-04-03,830.14,166
33,3852,54,2024-05-10,Smartphone,2024-10-16,3414.38,129
5,4664,41,2023-11-12,Laptop,2022-04-25,4578.83,128
41,4476,43,2024-09-09,Tablet,2022-04-23,757.78,183
28,3987,37,2024-09-29,TV,2024-12-19,414.84,167
7,2659,26,2024-01-19,Smartphone,2022-08-25,4676.45,113
73,4602,46,2024-10-03,Tablet,2023-09-30,630.77,151
72,1966,48,2023-11-12,Tablet,2024-12-04,1289.32,138
12,4685,36,2023-09-13,TV,2023-12-25,4651.0,120
34,4975,37,2024-03-16,Tablet,2023-05-14,4024.44,170
33,4148,44,2023-04-25,Smartphone,2023-03-25,1746.65,105
48,3276,61,2023-10-26,Headphones,2022-07-14,4774.91,154
23,4009,52,2023-05-04,Smartphone,2023-07-29,2861.84,139
62,4368,88,2023-09-13,Headphones,2023-08-05,407.63,169
88,4581,39,2024-10-12,Tablet,2022-11-06,3530.18,124
37,3762,32,2024-12-18,Smartphone,2023-08-14,2709.52,103
99,4031,30,2023-02-16,TV,2023-07-02,2884.31,188
44,1572,21,2024-12-29,Tablet,2023-01-24,4970.82,181
86,4609,73,2024-04-07,TV,2024-03-10,804.95,133
91,2606,40,2023-12-16,Headphones,2023-10-23,3301.14,188
35,1614,51,2023-05-03,Laptop,2024-02-24,2320.77,121
65,1325,34,2023-01-31,Laptop,2023-06-18,1395.87,155
99,4434,45,2023-02-24,Headphones,2022-10-24,3483.05,145
47,4740,31,2023-06-02,Laptop,2024-04-06,3357.65,155
78,3922,51,2024-03-31,Tablet,2023-12-28,4289.65,177
3,1358,74,2023-10-13,Tablet,2022-11-27,4400.4,174
1,4777,72,2023-02-05,Smartphone,2023-09-26,2831.01,126
5,2810,83,2023-09-13,Tablet,2024-05-04,1661.58,189
90,3371,54,2023-06-27,Laptop,2024-12-14,2671.42,134
14,2721,85,2024-07-01,TV,2024-02-11,1828.31,115
27,2349,43,2023-09-11,Smartphone,2024-05-24,1422.91,119
9,4696,78,2024-05-22,TV,2024-01-12,2780.3,114
79,4896,84,2024-11-04,Laptop,2023-09-30,3306.77,177
15,1164,69,2023-01-21,TV,2023-03-18,2973.33,171
90,2596,35,2023-03-16,Laptop,2024-06-11,4774.38,123
42,2627,70,2024-12-19,Tablet,2022-05-26,1528.25,161
77,3845,80,2024-04-04,Smartphone,2023-01-26,1893.09,196
51,3502,70,2023-06-27,Headphones,2023-01-08,3354.83,179
63,2176,44,2024-01-17,Laptop,2024-12-04,3021.78,190
96,4808,48,2023-02-06,Tablet,2022-09-19,59.22,191
52,2150,18,2023-04-30,TV,2024-07-19,1595.81,143
96,1192,23,2024-09-21,Tablet,2024-01-16,1306.12,113
4,3674,28,2023-01-01,TV,2023-07-19,4207.58,172
94,4845,51,2024-12-21,TV,2023-05-31,4337.93,176
23,3577,80,2023-11-07,TV,2023-11-16,1455.27,150
15,4081,70,2023-07-27,TV,2023-05-01,555.25,121
43,1091,35,2023-06-03,Smartphone,2024-04-13,1065.75,193
29,1138,38,2024-11-13,TV,2023-04-11,924.01,131
36,1480,36,2023-11-11,Smartphone,2023-04-11,1225.31,179
13,3496,21,2023-11-03,Headphones,2022-01-22,1211.49,124
32,2356,46,2024-05-18,Smartphone,2023-01-31,2425.2,148
71,3916,42,2024-09-10,TV,2022-05-25,1632.22,122
59,1339,73,2024-10-16,Headphones,2023-02-24,2821.12,136
86,2075,80,2024-06-03,Tablet,2022-11-01,1753.47,191
28,4778,44,2024-08-28,Smartphone,2024-09-27,4082.65,102
66,3513,77,2023-04-07,Tablet,2022-02-13,4756.42,159
42,3765,66,2024-05-04,Headphones,2022-04-17,2049.4,158
45,1798,82,2023-01-07,Smartphone,2022-05-30,294.87,122
62,1474,55,2023-01-12,TV,2022-04-20,1235.91,132
57,3448,69,2024-05-28,Smartphone,2024-11-07,554.2,153
6,2462,18,2023-12-15,TV,2024-01-20,1756.58,138
28,4949,57,2023-01-07,Laptop,2022-08-27,3243.32,124
28,1604,38,2024-05-14,Smartphone,2023-12-25,2618.59,162
44,3979,32,2024-04-19,Smartphone,2024-01-13,1252.23,188
84,4044,67,2024-06-07,Tablet,2022-11-24,3847.93,184
30,3969,65,2023-02-26,Tablet,2024-05-11,700.83,158
62,1820,49,2024-08-12,Headphones,2023-04-06,1179.57,130
75,3704,66,2024-08-08,TV,2024-01-14,3396.43,148
92,1597,85,2023-08-21,Tablet,2022-12-29,1026.31,193
89,2532,62,2023-01-30,Headphones,2024-06-16,3409.88,159
62,4224,49,2024-01-02,TV,2023-03-19,4885.86,163
97,1513,21,2024-08-29,TV,2024-06-04,4165.2,197
1,2526,82,2023-02-25,TV,2024-09-10,842.05,137
27,2877,88,2023-01-10,Laptop,2022-09-18,2626.47,170
62,4972,82,2023-05-27,TV,2022-10-07,2140.49,190
77,4843,35,2023-12-30,Headphones,2024-07-14,4958.76,176
3,2699,71,2024-08-21,TV,2024-08-03,4823.78,192
70,2029,64,2023-09-10,TV,2022-06-01,679.2,186
72,1499,23,2024-11-29,Headphones,2024-03-04,4548.22,107
27,2684,83,2023-09-10,Smartphone,2024-11-01,1007.42,184
9,1716,26,2024-03-18,TV,2022-01-14,1631.28,112
62,2141,85,2023-12-06,Headphones,2024-08-08,1799.37,125
37,2508,40,2024-05-30,Tablet,2024-05-16,1469.77,109
97,3648,60,2023-12-19,Headphones,2023-03-21,4273.56,192
51,1665,68,2024-09-15,Laptop,2024-03-09,1683.17,190
44,4750,89,2024-12-05,Tablet,2024-01-02,4092.86,155
24,3515,42,2024-10-14,Smartphone,2022-08-26,4972.17,103
79,3208,52,2023-11-19,Smartphone,2023-06-23,4211.77,130
59,3317,34,2023-05-20,Headphones,2024-02-08,1763.41,116
32,2079,35,2024-03-20,Headphones,2024-03-19,3570.7,107
96,1227,44,2023-04-05,TV,2024-02-01,2692.92,151
88,3896,32,2024-07-06,TV,2022-03-15,3943.26,136
52,1148,86,2024-02-24,Laptop,2022-10-23,807.83,119
62,2069,32,2024-05-28,TV,2022-01-14,3208.77,146
58,2167,59,2023-05-30,Headphones,2023-09-04,3879.65,173
52,4821,51,2024-07-06,Headphones,2023-01-30,3818.1,150
12,4855,65,2023-12-17,TV,2022-07-10,4819.79,157
39,1631,25,2023-04-26,Laptop,2024-03-27,339.14,143
2,2363,27,2024-09-23,Headphones,2022-04-16,1761.61,197
3,1412,22,2023-08-25,Laptop,2022-01-07,2408.94,110
56,2755,65,2023-09-27,Headphones,2024-02-04,1583.33,111
81,1519,43,2023-10-18,Laptop,2023-10-14,1583.46,109
59,2367,40,2024-03-09,Laptop,2023-04-30,921.84,176
2,3434,79,2023-01-09,Laptop,2024-07-20,4074.11,153
2,4544,30,2024-09-21,TV,2023-05-21,4544.94,133
92,3322,26,2024-04-19,Smartphone,2023-06-03,457.52,129
54,3400,37,2024-06-05,Laptop,2024-03-12,816.75,114
87,4137,74,2024-06-20,Laptop,2023-03-25,1180.84,107
96,2102,41,2024-11-15,Headphones,2022-10-12,2569.49,199
97,1597,50,2023-01-11,Smartphone,2022-03-15,3966.3,139
1,2659,37,2024-09-04,Headphones,2022-02-14,403.7,121
19,4273,77,2023-11-23,Headphones,2024-01-15,3202.22,104
2,2685,65,2024-08-17,Laptop,2023-11-07,789.21,195
53,3605,81,2023-10-03,Tablet,2023-07-29,4858.71,119
44,3160,47,2024-01-05,Smartphone,2022-04-03,4498.93,186
90,4162,34,2024-05-04,Headphones,2022-11-18,4750.44,148
32,3188,31,2023-12-11,Tablet,2023-04-11,575.51,151
70,4360,36,2024-01-03,Tablet,2023-08-27,2465.78,165
32,2924,88,2023-11-07,Headphones,2024-06-03,867.97,118
68,1729,76,2024-12-31,Laptop,2024-10-03,3021.76,189
55,1588,84,2024-08-23,TV,2023-07-08,1202.06,199
75,3458,61,2024-04-29,Headphones,2024-01-23,3864.62,113
56,1376,49,2023-01-15,Laptop,2022-11-23,3237.81,106
17,2407,28,2024-11-18,Smartphone,2023-12-29,2879.44,156
38,2869,19,2023-01-04,Laptop,2023-08-14,4134.87,179
24,4223,85,2024-01-11,Tablet,2024-04-30,2526.35,109
69,4906,34,2024-01-04,Smartphone,2023-03-16,1385.77,121
98,1750,57,2024-04-09,Smartphone,2023-12-15,3122.49,189
70,1626,63,2024-06-16,TV,2023-03-08,4787.46,104
86,4390,21,2024-12-20,TV,2024-08-05,3025.74,175
11,4440,55,2023-05-17,Headphones,2022-11-24,3166.62,187
16,2629,80,2023-12-29,Laptop,2024-05-10,4677.02,123
97,1994,46,2023-08-04,Headphones,2022-08-17,2600.61,114
73,2583,36,2024-01-03,TV,2024-01-14,4981.97,187
59,1702,46,2023-04-27,Tablet,2024-09-28,840.33,187
70,3509,52,2023-06-28,TV,2024-03-21,2708.35,125
80,3059,87,2023-09-03,Laptop,2022-06-23,1103.86,154
93,2179,40,2023-05-08,Tablet,2023-05-28,2293.97,197
3,4755,63,2023-12-24,Headphones,2022-05-09,894.34,117
20,1476,61,2023-03-19,Headphones,2023-01-09,1151.52,142
59,3986,65,2023-10-20,TV,2022-08-24,1093.46,105
36,1400,69,2023-03-23,TV,2024-01-12,1634.16,144
19,3855,25,2023-12-08,Headphones,2022-07-09,716.29,124
90,3224,72,2023-12-04,Headphones,2022-06-17,4056.24,180
67,4412,83,2024-07-31,Smartphone,2022-10-18,1142.34,115
19,1056,57,2023-04-06,Laptop,2022-05-19,2112.02,154
20,4926,48,2023-05-25,Smartphone,2023-07-22,129.48,155
96,2875,65,2024-07-30,Smartphone,2024-12-10,569.16,128
71,1447,78,2024-06-04,Headphones,2024-09-17,4486.55,163
52,1202,69,2024-02-01,Laptop,2022-10-25,4193.94,100
33,4768,55,2023-12-23,Headphones,2022-09-13,4212.57,144
40,2656,53,2023-07-05,Smartphone,2022-11-05,2086.2,183
39,1737,72,2024-10-31,Smartphone,2022-04-01,750.58,125
82,1201,30,2024-06-26,Headphones,2022-05-29,584.08,184
1,2353,54,2023-05-31,TV,2024-11-19,3047.73,149
11,3410,64,2023-11-15,TV,2023-04-07,4149.56,126
92,1891,88,2024-10-29,Headphones,2023-09-27,4505.57,199
57,3501,39,2023-02-28,Tablet,2023-09-29,1479.22,134
89,3403,56,2023-01-10,Tablet,2023-10-08,1639.08,179
50,1215,75,2023-05-04,TV,2023-06-02,549.34,128
23,4019,47,2023-12-22,Laptop,2022-07-09,3883.33,106
31,3602,35,2023-12-12,Smartphone,2022-03-20,1414.67,161
94,3934,35,2023-08-25,Laptop,2024-03-26,2430.6,170
42,1022,56,2023-11-29,TV,2022-03-13,4648.04,133
99,3202,43,2023-01-17,Headphones,2022-02-12,3773.47,147
7,2209,88,2024-02-28,Tablet,2024-03-13,311.05,104
16,3296,24,2023-11-20,TV,2022-12-23,90.37,107
90,1748,86,2023-01-23,Laptop,2022-01-08,3947.67,171
60,1804,82,2024-04-03,Laptop,2023-03-13,2784.88,142
2,1133,63,2024-04-04,TV,2022-03-21,3615.66,192
1,1320,35,2024-06-04,Smartphone,2023-11-20,826.24,151
48,3437,30,2024-12-19,Laptop,2023-07-30,4366.64,173
12,1433,42,2024-07-10,Smartphone,2024-06-18,3877.96,100
69,2045,25,2024-02-25,Smartphone,2022-10-15,4459.65,137
37,1872,49,2024-02-07,Headphones,2024-08-20,1738.43,191
32,4671,34,2023-11-27,TV,2023-12-21,1414.74,106
9,4736,65,2024-04-01,TV,2024-08-13,801.07,180
99,4196,80,2024-04-27,Smartphone,2022-08-14,4653.94,155
19,4150,57,2024-05-12,Headphones,2022-10-05,925.3,145
48,3905,32,2023-01-27,Laptop,2024-06-13,640.62,123
80,3098,23,2024-02-01,Laptop,2024-03-02,1003.76,134
3,4799,80,2023-07-07,TV,2024-10-23,3868.34,172
20,3223,25,2023-05-20,Smartphone,2023-06-29,4453.17,141
24,3917,49,2024-06-04,Headphones,2023-04-23,4064.02,166
54,1252,62,2023-04-02,Headphones,2024-11-19,2838.03,143
33,1965,69,2023-03-18,Laptop,2023-02-23,4969.73,103
24,4317,30,2023-09-01,Laptop,2024-11-17,390.83,195
75,1738,41,2024-10-28,Tablet,2023-09-01,4342.6,176
72,2129,57,2024-12-30,Tablet,2022-03-28,2167.18,123
36,4264,31,2024-10-23,Smartphone,2024-11-15,2302.86,170
38,2339,87,2023-03-29,Tablet,2022-04-30,681.59,118
84,1301,79,2024-09-09,Headphones,2023-12-14,215.49,190
99,3595,78,2023-10-21,Tablet,2023-01-27,1617.31,149
89,2977,18,2023-04-05,TV,2022-12-19,915.52,190
99,3763,83,2023-09-10,TV,2022-01-15,2442.53,117
25,3826,49,2024-07-04,Laptop,2022-11-01,779.29,193
93,3315,30,2024-02-03,Laptop,2023-09-15,732.74,127
18,4241,50,2023-02-23,Smartphone,2023-06-04,4391.05,128
82,4057,49,2023-08-31,TV,2024-05-02,4610.41,172
66,1550,73,2023-04-20,Smartphone,2023-10-02,4822.87,184
54,2478,41,2024-09-15,Smartphone,2023-01-22,3418.49,144
35,4722,21,2024-11-16,Tablet,2024-06-23,3866.53,106
80,2315,40,2024-12-01,Laptop,2022-01-14,4187.13,144
61,2587,46,2023-08-09,Smartphone,2022-04-01,3311.66,188
41,2822,38,2024-07-17,Smartphone,2022-01-04,1684.7,125
33,2824,47,2023-06-11,Laptop,2024-10-18,824.12,169
68,2164,37,2023-02-04,Laptop,2024-03-06,1224.5,148
33,4217,33,2023-02-06,TV,2022-08-04,4210.05,183
14,4496,84,2024-09-14,Laptop,2023-12-05,3495.68,117
21,1313,66,2024-01-05,Tablet,2024-01-01,2306.19,183
48,1183,75,2023-06-26,TV,2022-01-17,195.56,139
20,2687,61,2024-06-04,Smartphone,2023-05-10,1367.71,117
8,1712,42,2023-10-02,Tablet,2023-03-20,3658.04,146
7,3175,40,2024-09-24,Tablet,2024-02-18,2586.32,100
67,2310,76,2023-04-15,TV,2022-06-15,2205.89,132
17,4894,18,2023-06-05,Smartphone,2022-12-23,1602.71,138
33,4324,32,2023-12-02,TV,2022-08-22,3054.31,122
48,4849,69,2023-01-26,Headphones,2022-06-24,4833.61,113
76,3747,75,2023-10-23,Headphones,2023-11-28,4510.56,191
59,3433,58,2024-06-20,TV,2022-08-26,200.96,184
86,4301,61,2023-12-21,Smartphone,2024-09-14,2430.72,143
22,1270,21,2023-03-10,Smartphone,2024-10-10,1680.87,136
30,2794,85,2023-11-23,Laptop,2024-06-30,2577.49,170
38,1810,24,2023-05-31,Tablet,2023-09-22,3050.76,175
51,3462,63,2024-07-30,TV,2023-08-11,1040.14,136
54,1197,26,2024-10-23,Tablet,2024-03-04,3918.76,127
8,4394,50,2023-11-16,Tablet,2024-07-08,2401.59,106
27,2079,50,2024-03-27,Headphones,2023-02-11,4960.43,151
27,3878,21,2024-07-23,Headphones,2022-06-26,174.38,116
98,2226,82,2024-10-29,TV,2022-04-29,989.11,161
21,4854,51,2023-04-22,TV,2023-09-06,3463.67,136
30,2644,81,2024-09-26,Smartphone,2022-12-31,3491.14,113
97,1627,42,2024-04-06,TV,2023-05-01,2931.83,150
28,1603,72,2023-12-28,Smartphone,2022-11-18,4861.2,154
64,2161,26,2023-07-22,Smartphone,2022-05-19,2105.81,156
97,2445,34,2024-05-01,TV,2022-11-29,2114.33,103
69,4886,38,2024-04-24,Smartphone,2022-08-12,4556.86,185
61,2080,77,2023-01-04,Tablet,2023-07-26,2715.29,148
48,2585,30,2023-05-09,Smartphone,2024-02-15,1800.95,180
19,4057,20,2023-01-26,Tablet,2024-08-24,3608.74,134
4,3118,85,2023-01-27,Tablet,2023-08-16,3117.37,152
35,1910,21,2023-02-11,Tablet,2024-03-19,1566.73,131
64,4985,24,2024-08-05,Laptop,2024-09-13,1524.75,194
49,1593,43,2023-03-05,Laptop,2024-10-20,2008.28,188
17,2395,41,2023-01-25,Smartphone,2024-05-10,404.52,109
44,4688,27,2023-03-13,TV,2022-07-06,4715.95,161
92,1599,30,2024-04-26,Smartphone,2022-09-06,955.95,101
30,1513,61,2023-09-25,Laptop,2024-12-04,1009.43,162
93,2895,56,2023-04-05,Headphones,2024-10-20,3252.84,190
46,3131,36,2024-01-30,Headphones,2022-09-03,3635.02,175
6,4041,68,2023-12-30,Smartphone,2024-07-15,3697.34,115
99,2066,36,2023-11-11,Laptop,2022-01-15,1906.62,115
37,4737,69,2023-04-27,Tablet,2024-04-05,4372.98,102
24,3886,64,2023-06-13,Laptop,2023-11-20,2742.8,188
93,2957,47,2024-07-30,Smartphone,2023-12-28,2221.01,117
46,3653,63,2023-11-02,Laptop,2023-06-21,4061.41,141
53,1809,38,2023-07-19,Headphones,2023-05-07,1255.63,131
95,3180,65,2023-06-29,Tablet,2022-10-19,4307.92,149
99,4466,79,2023-12-24,Smartphone,2022-04-27,2717.21,148
60,2088,75,2023-09-09,Smartphone,2023-08-15,4505.29,102
97,1289,35,2023-10-26,TV,2023-11-18,1047.98,171
63,3423,76,2024-03-05,Tablet,2024-01-14,4683.51,104
85,1768,65,2023-01-04,Smartphone,2024-08-05,3454.99,156
32,3514,80,2024-10-14,Laptop,2023-11-14,3110.73,183
87,4969,29,2024-11-08,Laptop,2023-09-21,2139.23,143
33,4284,51,2023-09-11,Laptop,2023-08-16,4783.76,124
67,4219,78,2024-10-26,Laptop,2023-01-22,2247.4,169
18,4644,70,2024-08-01,Smartphone,2023-10-14,2517.79,191
25,1470,42,2024-07-20,Headphones,2022-07-12,3918.42,122
95,3196,79,2023-04-06,Tablet,2022-04-11,1459.97,187
54,1087,21,2023-06-16,Laptop,2024-12-29,1492.9,109
58,4395,30,2023-11-27,Smartphone,2023-03-20,3887.72,109
67,4966,59,2023-03-03,Smartphone,2023-03-09,686.47,132
46,3443,66,2023-06-23,Laptop,2023-06-21,4123.67,172
24,1789,73,2023-09-10,TV,2023-08-24,3144.62,117
32,4475,64,2024-04-05,Smartphone,2023-12-09,2718.46,166
47,4153,25,2024-09-15,Tablet,2022-11-15,1184.09,196
86,2664,72,2023-08-03,Tablet,2022-08-13,3942.52,173
23,2309,35,2023-08-27,TV,2023-01-23,4034.52,126
66,4453,52,2024-02-19,Smartphone,2024-04-25,2440.56,134
27,1864,49,2024-11-05,TV,2022-03-12,1976.39,161
2,4863,41,2023-05-06,Smartphone,2023-03-20,1268.5,117
90,2293,24,2023-09-10,Smartphone,2023-08-22,3783.46,106
17,4363,30,2024-12-11,TV,2023-01-22,3215.29,170
33,4524,86,2023-07-16,Headphones,2022-01-18,1072.82,185
9,4786,59,2024-09-25,Laptop,2023-07-07,3982.62,109
43,1023,48,2024-02-17,Laptop,2024-05-23,4416.92,126
48,4003,43,2024-03-31,Laptop,2022-10-07,343.27,167
39,2886,49,2023-02-23,TV,2024-02-10,3873.48,175
93,1310,69,2024-10-08,Smartphone,2024-08-11,4271.37,166
42,2484,37,2023-12-05,Smartphone,2022-11-25,4957.96,154
26,2231,57,2023-12-25,Tablet,2023-05-23,1226.13,147
99,4863,76,2023-05-31,Smartphone,2023-03-26,1886.47,166
50,4788,31,2023-04-10,Headphones,2024-04-18,4832.65,188
25,3711,61,2023-08-22,Laptop,2023-01-28,515.38,125
24,3485,65,2024-06-27,Headphones,2022-04-19,2642.35,139
13,4609,60,2023-03-03,Laptop,2022-12-25,2558.39,170
60,1705,33,2023-07-15,TV,2024-08-13,3052.41,145
7,2359,52,2024-06-25,Headphones,2024-07-23,1687.42,197
57,1421,70,2023-04-16,Smartphone,2022-11-14,4633.29,173
36,2773,51,2023-10-22,Laptop,2022-12-07,1386.8,166
45,3368,20,2024-10-06,Tablet,2022-12-15,3265.99,191
20,4568,85,2024-03-26,Headphones,2022-01-27,2504.84,110
65,3634,22,2024-06-17,TV,2023-09-30,1370.03,150
8,1946,27,2023-06-05,Tablet,2023-02-05,984.83,131
16,2186,69,2024-02-10,TV,2022-11-12,4784.98,171
14,2834,46,2024-12-26,Laptop,2023-01-03,2828.39,119
76,2564,48,2024-11-13,Headphones,2022-12-09,3040.75,104
87,4236,83,2024-07-07,TV,2023-11-24,3925.33,140
